event_time,read_time,diff
1723174527897411,1723174527897432,21
1723174527897411,1723174527897433,22
1723174527898412,1723174527898435,23
1723174527898412,1723174527898436,24
1723174527899412,1723174527899433,21
1723174527899412,1723174527899434,22
1723174527899412,1723174527899434,22
1723174527900411,1723174527900432,21
1723174527900411,1723174527900432,21
1723174527901427,1723174527901448,21
1723174527901427,1723174527901448,21
1723174527902421,1723174527902444,23
1723174527902421,1723174527902444,23
1723174527903429,1723174527903453,24
1723174527903429,1723174527903453,24
1723174527904409,1723174527904426,17
1723174527904409,1723174527904426,17
1723174527904409,1723174527904427,18
1723174527905417,1723174527905438,21
1723174527905417,1723174527905439,22
1723174527906418,1723174527906439,21
1723174527906418,1723174527906440,22
1723174527906418,1723174527906440,22
1723174527907421,1723174527907444,23
1723174527907421,1723174527907445,24
1723174527907421,1723174527907445,24
1723174527908416,1723174527908437,21
1723174527908416,1723174527908438,22
1723174527909411,1723174527909433,22
1723174527909411,1723174527909433,22
1723174527909411,1723174527909434,23
1723174527910411,1723174527910432,21
1723174527910411,1723174527910432,21
1723174527910411,1723174527910433,22
1723174527911412,1723174527911436,24
1723174527911412,1723174527911436,24
1723174527911412,1723174527911437,25
1723174527912404,1723174527912422,18
1723174527912404,1723174527912423,19
1723174527912404,1723174527912423,19
1723174527913425,1723174527913448,23
1723174527913425,1723174527913449,24
1723174527913425,1723174527913449,24
1723174527914414,1723174527914437,23
1723174527914414,1723174527914438,24
1723174527914414,1723174527914438,24
1723174527915418,1723174527915442,24
1723174527915418,1723174527915443,25
1723174527915418,1723174527915443,25
1723174527916416,1723174527916438,22
1723174527916416,1723174527916439,23
1723174527916416,1723174527916439,23
1723174527917412,1723174527917433,21
1723174527917412,1723174527917434,22
1723174527917412,1723174527917434,22
1723174527918414,1723174527918436,22
1723174527918414,1723174527918436,22
1723174527918414,1723174527918436,22
1723174527919414,1723174527919435,21
1723174527919414,1723174527919436,22
1723174527919414,1723174527919436,22
1723174527920414,1723174527920436,22
1723174527920414,1723174527920437,23
1723174527920414,1723174527920437,23
1723174527921411,1723174527921432,21
1723174527921411,1723174527921433,22
1723174527921411,1723174527921433,22
1723174527922411,1723174527922432,21
1723174527922411,1723174527922432,21
1723174527922411,1723174527922433,22
1723174527923424,1723174527923449,25
1723174527923424,1723174527923450,26
1723174527923424,1723174527923450,26
1723174527924412,1723174527924433,21
1723174527924412,1723174527924433,21
1723174527924412,1723174527924433,21
1723174527925411,1723174527925436,25
1723174527925411,1723174527925437,26
1723174527925411,1723174527925437,26
1723174527926414,1723174527926436,22
1723174527926414,1723174527926437,23
1723174527926414,1723174527926437,23
1723174527927411,1723174527927432,21
1723174527927411,1723174527927433,22
1723174527927411,1723174527927433,22
1723174527928412,1723174527928434,22
1723174527928412,1723174527928434,22
1723174527928412,1723174527928434,22
1723174527929411,1723174527929432,21
1723174527929411,1723174527929433,22
1723174527929411,1723174527929433,22
1723174527930412,1723174527930434,22
1723174527930412,1723174527930434,22
1723174527930412,1723174527930434,22
1723174527931411,1723174527931433,22
1723174527931411,1723174527931434,23
1723174527931411,1723174527931434,23
1723174527932413,1723174527932436,23
1723174527932413,1723174527932437,24
1723174527932413,1723174527932437,24
1723174527933412,1723174527933433,21
1723174527933412,1723174527933434,22
1723174527933412,1723174527933434,22
1723174527934414,1723174527934437,23
1723174527934414,1723174527934437,23
1723174527934414,1723174527934438,24
1723174527935423,1723174527935449,26
1723174527935423,1723174527935449,26
